scope,budget,label,reference,cell,error_ratio,error_ratio_ci90,routed_gain,routed_gain_retention,routed_gain_retention_ci90,band,band_delta,band_delta_ci90,mean_bits,evict_frac,tier0_frac,tier1_frac,tier2_frac,tier3_frac,tier4_frac,tier5_frac,tier6_frac,tier8_frac,median_cell_error_ratio,worst_cell_error_ratio,worst_cell_band_delta,pass
transition,2,no1,full,macro,,,,,,,,,,,,,,,,,,,1.0006824338882807,1.0084618579290827,,True
transition,2,base3_dense,no1,macro,,,,,,,,,,,,,,,,,,,1.020435975016011,1.0610475636086159,,True
transition,2,nested3,base3_dense,macro,,,,,,,,,,,,,,,,,,,1.0092864128054517,1.0117216869776582,,True
cell,3,full,full,llama31-8b@131072,1.0,"(1.0, 1.0)",1.7696267267073496,1.0,"(1.0, 1.0)",0.3395182291666667,0.0,"(0.0, 0.0)",2.9999947889627814,0.5046840638823644,0.5046840638823644,0.0005189372547357675,0.0024726011724315517,0.024537671235834616,0.0888843523435042,0.0880890915630486,0.10078574595911415,0.19002753658896673,,,,
cell,3,full,full,llama31-8b@32768,1.0,"(1.0, 1.0)",2.1911378220752056,1.0,"(1.0, 1.0)",0.501681857638889,0.0,"(0.0, 0.0)",2.9999810355957552,0.46529265816831133,0.46529265816831133,0.0006826681921069402,0.0032189989833467784,0.0491605776252491,0.1158522793199474,0.10726153369597649,0.11129421065948011,0.14723707335558184,,,,
cell,3,full,full,qwen3-30b-a3b-2507@8192,1.0,"(1.0, 1.0)",1.6661075958252551,1.0,"(1.0, 1.0)",0.31217447916666663,0.0,"(0.0, 0.0)",2.999887565955178,0.47367515121431064,0.47367515121431064,3.4471347416027793e-07,0.0019052888239295498,0.04324832699060541,0.094046798301252,0.11677197663302263,0.12826616016766865,0.14208595315573694,,,,
cell,3,full,full,qwen3-8b@8192,1.0,"(1.0, 1.0)",1.9230698009103628,1.0,"(1.0, 1.0)",0.41256751543209874,0.0,"(0.0, 0.0)",2.999905292816533,0.48819456700968594,0.48819456700968594,0.0,0.0008516752217205218,0.03618348077931883,0.09456569721646166,0.10222579499901131,0.11178527100809094,0.16619351376571082,,,,
macro,3,full,full,macro,1.0,"(1.0, 1.0)",,1.0,"(1.0, 1.0)",,0.0,"(0.0, 0.0)",,,,,,,,,,,1.0,1.0,0.0,
cell,3,no1,full,llama31-8b@131072,1.0027649157177994,"(1.0021371107170616, 1.0033478533262365)",1.769195252326947,0.9997561777442153,"(0.9991122527125635, 1.0005019595804983)",0.3392469618055556,-0.0002712673611111142,"(-0.0005425347222222191, -9.25185853854297e-18)",2.999994769169477,0.5049092163181587,0.5049092163181587,,0.002784005631029544,0.024538817448095766,0.08888107385254689,0.088083077997308,0.10077992492824316,0.19002388382461802,,,,
cell,3,no1,full,llama31-8b@32768,0.9822135497426807,"(0.9794704613073002, 0.9847001330678528)",2.1985548153548486,1.0033849962357082,"(1.0030174771703584, 1.0037442895964686)",0.5039605034722222,0.002278645833333315,"(0.0017903645833332777, 0.0027669270833333426)",2.999981049984529,0.46555862746289767,0.46555862746289767,,0.003687331996673776,0.04915549119360982,0.11583617108735851,0.10724511610474476,0.11128422485026467,0.1472330373044508,,,,
cell,3,no1,full,qwen3-30b-a3b-2507@8192,1.0000000999695917,"(1.0, 1.0000001999391934)",1.6661069323447368,0.9999996017781084,"(0.9999988053348011, 1.0)",0.31217447916666663,0.0,"(0.0, 0.0)",2.9998876234074237,0.4736754384755391,0.4736754384755391,,0.0019052888239295498,0.04324832699060541,0.0940468557534977,0.11677191918077694,0.12826616016766865,0.14208601060798265,,,,
